Shift ID,Nurse ID,Date,Scheduled,Hours_Worked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0001,N0001,1-Mar,TRUE,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0002,N0002,1-Mar,TRUE,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0003,N0003,1-Mar,TRUE,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0004,N0004,1-Mar,TRUE,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0005,N0005,1-Mar,TRUE,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0006,N0006,1-Mar,TRUE,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0007,N0007,1-Mar,TRUE,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0008,N0008,1-Mar,TRUE,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0009,N0009,1-Mar,TRUE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0010,N0010,1-Mar,TRUE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0011,N0011,1-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0012,N0012,1-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0013,N0013,1-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0014,N0014,1-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0015,N0015,1-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0016,N0001,2-Mar,TRUE,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0017,N0002,2-Mar,TRUE,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0018,N0003,2-Mar,TRUE,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0019,N0004,2-Mar,TRUE,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0020,N0005,2-Mar,TRUE,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0021,N0006,2-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0022,N0007,2-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0023,N0008,2-Mar,FALSE,0,,,,,,,3470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0024,N0009,2-Mar,FALSE,0,,,,,,,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0025,N0010,2-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0026,N0011,2-Mar,TRUE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0027,N0012,2-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0028,N0013,2-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
