Shift ID,Nurse ID,Date,Scheduled,Hours_Worked
S0001,N0001,2026-03-01,True,12.0
S0002,N0002,2026-03-01,True,12.0
S0003,N0003,2026-03-01,True,12.0
S0004,N0004,2026-03-01,True,12.0
S0005,N0005,2026-03-01,True,12.0
S0006,N0006,2026-03-01,True,8.0
S0007,N0007,2026-03-01,True,7.5
S0008,N0008,2026-03-01,True,4.0
S0009,N0009,2026-03-01,True,0.0
S0010,N0010,2026-03-01,True,0.0
S0011,N0011,2026-03-01,False,0.0
S0012,N0012,2026-03-01,False,0.0
S0013,N0013,2026-03-01,False,0.0
S0014,N0014,2026-03-01,False,0.0
S0015,N0015,2026-03-01,False,0.0
S0016,N0001,2026-03-02,True,12.0
S0017,N0002,2026-03-02,True,6.0
S0018,N0003,2026-03-02,True,6.0
S0019,N0004,2026-03-02,True,12.0
S0020,N0005,2026-03-02,True,4.0
S0021,N0006,2026-03-02,False,0.0
S0022,N0007,2026-03-02,False,0.0
S0023,N0008,2026-03-02,False,0.0
S0024,N0009,2026-03-02,False,0.0
S0025,N0010,2026-03-02,False,0.0
S0026,N0011,2026-03-02,True,0.0
S0027,N0012,2026-03-02,False,0.0
S0028,N0013,2026-03-02,False,0.0
S0029,N0014,2026-03-02,True,0.0
S0030,N0015,2026-03-02,True,0.0
S0031,N0001,2026-03-03,True,0.0
S0032,N0002,2026-03-03,True,0.0
S0033,N0003,2026-03-03,True,12.0
S0034,N0004,2026-03-03,False,0.0
S0035,N0005,2026-03-03,False,0.0
S0036,N0006,2026-03-03,False,0.0
S0037,N0007,2026-03-03,False,0.0
S0038,N0008,2026-03-03,False,0.0
S0039,N0009,2026-03-03,False,0.0
S0040,N0010,2026-03-03,True,12.0
S0041,N0011,2026-03-03,True,12.0
S0042,N0012,2026-03-03,True,12.0
S0043,N0013,2026-03-03,False,0.0
S0044,N0014,2026-03-03,False,0.0
S0045,N0015,2026-03-03,False,0.0
S0046,N0001,2026-03-04,False,0.0
S0047,N0002,2026-03-04,False,0.0
S0048,N0003,2026-03-04,False,0.0
S0049,N0004,2026-03-04,False,0.0
S0050,N0005,2026-03-04,False,0.0
S0051,N0006,2026-03-04,False,0.0
S0052,N0007,2026-03-04,False,0.0
S0053,N0008,2026-03-04,False,0.0
S0054,N0009,2026-03-04,False,0.0
S0055,N0010,2026-03-04,True,12.0
S0056,N0011,2026-03-04,True,12.0
S0057,N0012,2026-03-04,True,0.0
S0058,N0013,2026-03-04,True,12.0
S0059,N0014,2026-03-04,False,0.0
S0060,N0015,2026-03-04,True,8.0
S0061,N0001,2026-03-05,False,0.0
S0062,N0002,2026-03-05,False,0.0
S0063,N0003,2026-03-05,False,0.0
S0064,N0004,2026-03-05,True,4.0
S0065,N0005,2026-03-05,False,0.0
S0066,N0006,2026-03-05,True,0.0
S0067,N0007,2026-03-05,False,0.0
S0068,N0008,2026-03-05,True,12.0
S0069,N0009,2026-03-05,False,0.0
S0070,N0010,2026-03-05,True,0.0
S0071,N0011,2026-03-05,False,0.0
S0072,N0012,2026-03-05,False,0.0
S0073,N0013,2026-03-05,True,6.0
S0074,N0014,2026-03-05,False,0.0
S0075,N0015,2026-03-05,True,12.0
S0076,N0001,2026-03-06,False,0.0
S0077,N0002,2026-03-06,False,0.0
S0078,N0003,2026-03-06,False,0.0
S0079,N0004,2026-03-06,False,0.0
S0080,N0005,2026-03-06,False,0.0
S0081,N0006,2026-03-06,False,0.0
S0082,N0007,2026-03-06,False,0.0
S0083,N0008,2026-03-06,True,12.0
S0084,N0009,2026-03-06,False,0.0
S0085,N0010,2026-03-06,True,12.0
S0086,N0011,2026-03-06,True,12.0
S0087,N0012,2026-03-06,True,7.0
S0088,N0013,2026-03-06,True,12.0
S0089,N0014,2026-03-06,False,0.0
S0090,N0015,2026-03-06,True,0.0
S0091,N0001,2026-03-07,False,0.0
S0092,N0002,2026-03-07,False,0.0
S0093,N0003,2026-03-07,False,0.0
S0094,N0004,2026-03-07,False,0.0
S0095,N0005,2026-03-07,False,0.0
S0096,N0006,2026-03-07,True,12.0
S0097,N0007,2026-03-07,False,0.0
S0098,N0008,2026-03-07,False,0.0
S0099,N0009,2026-03-07,False,0.0
S0100,N0010,2026-03-07,True,12.0
S0101,N0011,2026-03-07,True,12.0
S0102,N0012,2026-03-07,True,0.0
S0103,N0013,2026-03-07,True,0.0
S0104,N0014,2026-03-07,False,0.0
S0105,N0015,2026-03-07,True,12.0
S0106,N0001,2026-03-08,True,12.0
S0107,N0002,2026-03-08,True,12.0
S0108,N0003,2026-03-08,True,6.0
